n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,tape,model,variant
1,262,1,261,0,0.003816793893129771,1.0,0.0076045627376425855,294.9999999999591,274.99999999997726,1.0,1.0,,,,,388_20250204.wav,v3_tape_proportional,len500_hop050_th70
0,112,0,112,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v3_tape_proportional,len500_hop050_th70
7,245,1,244,6,0.004081632653061225,0.14285714285714285,0.007936507936507938,158.99999999999181,168.99999999998272,0.0,,0.16666666666666666,0.2857142857142857,,,4212_20250205.wav,v3_tape_proportional,len500_hop050_th70
1,63,1,62,0,0.015873015873015872,1.0,0.03125,240.99999999998545,278.00000000002,,,,,1.0,1.0,7919_20250203.wav,v3_tape_proportional,len500_hop050_th70
1,180,0,180,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v3_tape_proportional,len500_hop050_th70
37,121,19,102,18,0.15702479338842976,0.5135135135135135,0.24050632911392403,266.2105263158078,286.9999999999908,0.42857142857142855,0.36363636363636365,0.5,0.5128205128205129,1.0,0.2727272727272727,TINA_20250203_v2.wav,v3_tape_proportional,len500_hop050_th70
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v3_tape_proportional,len500_hop050_th70
0,233,0,233,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v3_tape_proportional,len500_hop050_th70
16,207,4,203,12,0.01932367149758454,0.25,0.03587443946188341,233.25000000000352,228.49999999999858,0.0,,0.2727272727272727,0.39999999999999997,1.0,0.4,UNKN_20250205.wav,v3_tape_proportional,len500_hop050_th70
1,285,0,285,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v3_tape_proportional,len500_hop050_th70
3,88,2,86,1,0.022727272727272728,0.6666666666666666,0.04395604395604396,155.99999999994907,271.5000000000316,,,0.6666666666666666,0.8,,,UNKN_20250205_2nd_obs.wav,v3_tape_proportional,len500_hop050_th70
57,140,29,111,28,0.20714285714285716,0.5087719298245614,0.29441624365482233,209.4482758620488,256.9310344827643,1.0,0.12903225806451613,0.4878048780487805,0.5714285714285714,0.5,0.32558139534883723,UNKN_20250205_3nd_obs.wav,v3_tape_proportional,len500_hop050_th70
0,38,0,38,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v3_tape_proportional,len500_hop050_th70
5,91,3,88,2,0.03296703296703297,0.6,0.0625,246.66666666670758,333.33333333329546,,,0.6,0.7499999999999999,,,x_20250205_2nd_obs.wav,v3_tape_proportional,len500_hop050_th70
